City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,avarua,-21.2078,-159.775,29.03,79,4.63,4.63,CK,1740527513
79,punta arenas,-53.15,-70.9167,7.06,65,16.98,16.98,CL,1740527515
80,olonkinbyen,70.9221,-8.7187,-3.15,94,9.08,9.08,SJ,1740527517
81,nyurba,63.2842,118.3319,-28.1,100,1.33,1.33,RU,1740527519
82,salalah,17.0151,54.0924,24.05,83,1.03,1.03,OM,1740527520
83,fuman,37.2273,49.3142,3.01,47,4.5,4.5,IR,1740527521
84,isafjordur,66.0755,-23.124,-4.39,82,3.65,3.65,IS,1740527522
85,impfondo,1.6381,18.0667,22.09,90,2.11,2.11,CG,1740527523
86,nato,13.6105,123.5356,24.27,89,2.65,2.65,PH,1740527524
87,sitka,57.0531,-135.33,6.94,81,2.57,2.57,US,1740527526
88,hawaiian paradise park,19.5933,-154.9731,26.73,75,4.12,4.12,US,1740527527
89,morehead city,34.7229,-76.726,15.02,73,3.34,3.34,US,1740527528
90,port alfred,-33.5906,26.891,17.88,98,5.75,5.75,ZA,1740527529
91,jasper,37.2001,-94.3502,23.03,33,4.63,4.63,US,1740527530
92,hamilton,39.1834,-84.5333,14.47,56,4.12,4.12,US,1740527074
93,severo-yeniseyskiy,60.3725,93.0408,-9.38,93,6.19,6.19,RU,1740527532
94,pindwara,24.8,73.0667,21.04,27,1.12,1.12,IN,1740527533
95,fale old settlement,-9.3852,-171.2468,27.87,79,7.64,7.64,TK,1740527534
96,santa ana,33.7456,-117.8678,26.62,43,3.6,3.6,US,1740527532
97,ilulissat,69.2167,-51.1,-11.99,44,9.77,9.77,GL,1740527538
98,anadyr,64.75,177.4833,-31.67,74,3.0,3.0,RU,1740527522
99,labrador city,52.9463,-66.9114,-15.05,66,0.0,0.0,CA,1740527540
100,nizhnesortymskiy,62.4397,71.7603,-7.52,97,5.21,5.21,RU,1740527541
101,rio gallegos,-51.6226,-69.2181,10.03,37,13.89,13.89,AR,1740527278
102,pandan,14.0453,124.1694,25.72,73,7.19,7.19,PH,1740527543
103,invercargill,-46.4,168.35,15.57,72,5.81,5.81,NZ,1740527442
104,pimentel,-6.8367,-79.9342,27.16,69,7.2,7.2,PE,1740527546
105,jamestown,42.097,-79.2353,4.12,93,3.6,3.6,US,1740527548
106,queenstown,-31.8976,26.8753,16.37,93,2.51,2.51,ZA,1740527549
107,lensk,60.7253,114.9278,-8.73,92,4.72,4.72,RU,1740527550
108,kirakira,-10.4544,161.9205,26.9,89,4.96,4.96,SB,1740527551
109,kurtamysh,54.9103,64.4319,-16.42,98,1.77,1.77,RU,1740527552
110,suva,-18.1416,178.4415,30.71,70,5.66,5.66,FJ,1740527553
